source,data,ts
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 5, ""device_count_raw"": 5, ""csi_variance"": 1.7101, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T14:52:48.551580""}",2026-09-05T14:52:48.551580
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 5, ""device_count_raw"": 5, ""csi_variance"": 2.7582, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T14:52:53.347451""}",2026-09-05T14:52:53.347451
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 5, ""device_count_raw"": 5, ""csi_variance"": 13.5121, ""csi_people_estimate"": 1, ""ts"": ""2026-09-05T14:52:58.257670""}",2026-09-05T14:52:58.257670
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 5, ""device_count_raw"": 5, ""csi_variance"": 12.7353, ""csi_people_estimate"": 1, ""ts"": ""2026-09-05T14:53:03.273234""}",2026-09-05T14:53:03.273234
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 5, ""device_count_raw"": 5, ""csi_variance"": 8.4347, ""csi_people_estimate"": 1, ""ts"": ""2026-09-05T14:53:08.204577""}",2026-09-05T14:53:08.204577
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 6, ""device_count_raw"": 6, ""csi_variance"": 3.5721, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T14:53:13.206869""}",2026-09-05T14:53:13.206869
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 6, ""device_count_raw"": 6, ""csi_variance"": 6.1743, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T14:53:18.232544""}",2026-09-05T14:53:18.232544
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 6, ""device_count_raw"": 6, ""csi_variance"": 2.4958, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T14:53:23.660706""}",2026-09-05T14:53:23.660706
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 6, ""device_count_raw"": 6, ""csi_variance"": 7.5046, ""csi_people_estimate"": 1, ""ts"": ""2026-09-05T14:53:28.264987""}",2026-09-05T14:53:28.264987
wifi_occupancy,"{""node_id"": ""corridor_node_1"", ""people_count"": 7, ""device_count_raw"": 7, ""csi_variance"": 3.1425, ""csi_people_estimate"": 0, ""ts"": ""2026-09-05T14:53:33.176227""}",2026-09-05T14:53:33.176227
